Axyz,Act
15.04346515,walking
14.09745087,walking
14.74424207,walking
13.32139156,walking
12.1331429,walking
12.2651915,walking
13.23712612,walking
16.649766,walking
18.65809885,walking
16.78769829,walking
15.31212909,walking
11.97648524,walking
11.46820335,walking
11.31303314,walking
9.840203562,walking
5.441350843,walking
4.878955393,walking
5.439604182,walking
5.059186966,walking
4.240312056,walking
2.017752731,walking
1.427758752,walking
3.275463085,walking
20.47621491,walking
29.20944116,walking
25.03463893,walking
12.34732183,walking
9.66481029,walking
10.88241612,walking
17.82296524,walking
16.01142288,walking
12.45273028,walking
3.360489316,walking
9.923197221,walking
14.02030318,walking
15.13516244,walking
17.02937174,walking
17.29913142,walking
14.47991409,walking
11.15271984,walking
7.333958342,walking
7.87473691,walking
7.367459108,walking
7.928291933,walking
8.277522331,walking
8.327571173,walking
8.662539607,walking
9.414209373,walking
10.73462366,walking
10.96002799,walking
12.0584625,walking
14.12485227,walking
13.99404112,walking
12.30506718,walking
13.88661234,walking
15.92168159,walking
15.58727747,walking
13.62654011,walking
11.07908669,walking
10.3256572,walking
12.37098422,walking
19.087778,walking
18.98281593,walking
17.87625257,walking
15.80849347,walking
12.54346329,walking
10.55387465,walking
11.19826597,walking
11.19826597,walking
11.19826597,walking
4.368401495,walking
5.224324127,walking
4.194418355,walking
3.513463583,walking
2.359842538,walking
2.282980449,walking
9.032151496,walking
26.35501353,walking
28.13413969,walking
19.57488141,walking
13.93348952,walking
13.16102749,walking
17.66830387,walking
14.79266091,walking
15.41380696,walking
12.17517991,walking
14.10938249,walking
16.83035244,walking
16.61487784,walking
16.70910323,walking
17.59709808,walking
16.12360013,walking
11.27157414,walking
8.777207643,walking
8.005468844,walking
7.753606895,walking
7.482654226,walking
7.496963229,walking
7.793939181,walking
7.996077588,walking
9.749056286,walking
10.5781658,walking
11.037896,walking
11.44082698,walking
14.3629106,walking
14.63381365,walking
11.4987835,walking
13.95500915,walking
14.56594956,walking
15.13397319,walking
13.69022332,walking
12.6322332,walking
13.2167213,walking
15.39294446,walking
18.96242563,walking
19.43152571,walking
16.84663819,walking
12.59044742,walking
11.46938442,walking
10.73019047,walking
12.30629801,walking
7.65877118,walking
5.519886703,walking
4.855412686,walking
5.017436437,walking
4.520300973,walking
3.669573644,walking
2.209172383,walking
2.537400855,walking
4.208207203,walking
21.09685384,walking
28.43818285,walking
23.82222388,walking
15.04294081,walking
9.765910178,walking
13.49447015,walking
18.23516064,walking
17.58938889,walking
12.60266877,walking
3.834877928,walking
10.28181517,walking
13.42826808,walking
14.73590507,walking
17.20914173,walking
18.04580218,walking
15.2649639,walking
10.75163199,walking
8.230088633,walking
7.364626494,walking
6.801455882,walking
7.761135409,walking
8.296555403,walking
7.767660939,walking
7.606568152,walking
9.308322342,walking
10.46074744,walking
10.66808721,walking
13.86235327,walking
15.02141463,walking
14.79725465,walking
12.98830466,walking
14.61786414,walking
15.42678473,walking
15.01297387,walking
13.64832613,walking
11.12715424,walking
10.59009356,walking
12.48565272,walking
18.94857062,walking
18.75751531,walking
17.93628572,walking
13.51933346,walking
11.26271842,walking
10.5700499,walking
10.22764173,walking
8.273354487,walking
5.252451219,walking
4.938963326,walking
5.9308134,walking
5.274390397,walking
4.275278817,walking
2.209078793,walking
2.645693591,walking
3.954006899,walking
12.40629857,walking
30.08994066,walking
25.22373635,walking
16.57505982,walking
7.523483899,walking
10.12094486,walking
16.09302646,walking
13.45943957,walking
13.91769612,walking
10.13605695,walking
11.93658677,walking
12.99880813,walking
13.74774469,walking
15.99511798,walking
17.49876031,walking
17.74181831,walking
9.901207155,walking
8.340006239,walking
8.625572312,walking
7.840090786,walking
8.237522773,walking
7.787271603,walking
7.46467854,walking
7.310290843,walking
8.959794864,walking
10.93825718,walking
12.11229648,walking
13.25670897,walking
13.711771,walking
12.84367317,walking
14.50144076,walking
14.54473503,walking
15.53474615,walking
15.07911727,walking
12.4365041,walking
11.75158161,walking
12.16161913,walking
16.90791982,walking
18.05666359,walking
18.39121022,walking
14.60036616,walking
11.8097088,walking
11.39532936,walking
10.42197944,walking
9.866492039,walking
8.525051566,walking
4.483532528,walking
4.779469893,walking
5.103184632,walking
4.436478262,walking
3.808026858,walking
2.91258724,walking
3.132953894,walking
6.854529716,walking
28.15893595,walking
28.80737019,walking
22.5129839,walking
