Axyz,Act
9.11693642,walking
8.938007311,walking
9.234402171,walking
9.666794362,walking
10.07285411,walking
10.89775716,walking
11.2908803,walking
11.54621472,walking
11.61452105,walking
11.72325622,walking
11.85878734,walking
11.97283804,walking
12.77436971,walking
13.34780661,walking
14.07216919,walking
15.24019129,walking
15.56445364,walking
14.64293385,walking
14.46906352,walking
15.04426676,walking
15.94659582,walking
16.7786803,walking
16.73315804,walking
14.84220017,walking
13.77306809,walking
12.84210954,walking
12.84210954,walking
12.84210954,walking
11.06976814,walking
10.52923169,walking
9.589977633,walking
9.159910188,walking
8.747057427,walking
7.670121163,walking
7.232464065,walking
7.162246451,walking
7.400997212,walking
7.615206234,walking
8.132561973,walking
8.797510795,walking
9.876753733,walking
10.96692294,walking
11.55443013,walking
11.64103961,walking
12.04260515,walking
13.84892391,walking
14.57762839,walking
14.7924916,walking
14.1859209,walking
11.06157033,walking
9.708548584,walking
8.755107095,walking
8.643387677,walking
9.146873754,walking
9.776565926,walking
10.44491306,walking
10.73117134,walking
10.9899574,walking
11.61642266,walking
12.26874345,walking
12.5549604,walking
13.25107769,walking
13.77602148,walking
14.10210213,walking
14.73782418,walking
15.53268524,walking
15.39825267,walking
14.91379849,walking
14.76416077,walking
15.17914484,walking
15.48345036,walking
16.56887355,walking
16.28812003,walking
15.3648133,walking
13.25968549,walking
12.22554332,walking
11.51185609,walking
10.52443949,walking
10.17009988,walking
10.13289514,walking
9.27789811,walking
8.800058042,walking
8.503855246,walking
7.789297633,walking
7.624094693,walking
7.507108591,walking
8.139066808,walking
8.18598615,walking
8.247437927,walking
8.854575354,walking
10.24187426,walking
11.08845068,walking
10.8492953,walking
11.020877,walking
11.59827055,walking
13.02565417,walking
13.92624584,walking
13.44092514,walking
12.29446666,walking
9.628015811,walking
8.797726733,walking
8.578833788,walking
8.954514434,walking
9.331056562,walking
9.776924581,walking
10.80472345,walking
11.4113918,walking
11.98396193,walking
12.56987581,walking
13.28677539,walking
13.95211825,walking
15.27943779,walking
15.46322082,walking
15.59345805,walking
16.00967786,walking
14.72042337,walking
13.76372502,walking
13.96805799,walking
14.48197981,walking
15.13914599,walking
16.11077238,walking
16.22030114,walking
15.46162972,walking
12.67456808,walking
11.68873497,walking
11.26442119,walking
10.56926716,walking
10.455889,walking
10.42957156,walking
9.526338755,walking
9.225175066,walking
8.912280071,walking
8.170674411,walking
7.895687153,walking
7.462987644,walking
7.440493667,walking
7.864003561,walking
8.044423443,walking
9.151745451,walking
10.01687176,walking
10.85688838,walking
10.155592,walking
10.38533676,walking
11.45932268,walking
14.08253188,walking
14.78966551,walking
14.33563002,walking
11.99186534,walking
10.25748535,walking
8.874071097,walking
8.148132298,walking
8.340579678,walking
8.641931621,walking
9.799849537,walking
10.37913115,walking
11.15983428,walking
11.73202071,walking
12.5880742,walking
13.4240146,walking
13.64282415,walking
14.33805144,walking
14.88472855,walking
15.27694575,walking
15.8140022,walking
16.224231,walking
15.4401217,walking
13.43753255,walking
13.40400286,walking
13.90301664,walking
15.63690675,walking
16.19201415,walking
15.49698819,walking
13.81677414,walking
12.30900556,walking
11.18305124,walking
9.853176734,walking
9.849432133,walking
9.97782039,walking
9.744999733,walking
9.59153801,walking
9.407700657,walking
8.864518218,walking
8.664475883,walking
8.342635542,walking
8.047374583,walking
8.162419821,walking
8.624679387,walking
8.351652242,walking
9.062725898,walking
10.02803354,walking
10.88333611,walking
10.76960811,walking
10.81734646,walking
12.10099102,walking
13.06279048,walking
13.78325593,walking
13.6740943,walking
12.64014597,walking
11.32977634,walking
10.11107386,walking
8.92810362,walking
9.199947993,walking
9.714249801,walking
10.28549553,walking
10.5252626,walking
10.62489145,walking
10.91100176,walking
11.18190848,walking
11.41109322,walking
12.08416635,walking
12.65832867,walking
13.20193224,walking
14.20405869,walking
14.91672786,walking
15.84865823,walking
14.897381,walking
13.77501515,walking
13.7024896,walking
14.20763621,walking
15.09116591,walking
15.63761125,walking
15.75699716,walking
15.08022475,walking
13.39149363,walking
12.4886731,walking
10.75578945,walking
10.32782495,walking
10.20316586,walking
10.11078787,walking
9.85727457,walking
9.16237206,walking
8.710090374,walking
8.268393082,walking
7.434365917,walking
7.470021683,walking
7.689268631,walking
8.259866262,walking
8.466558335,walking
9.046688479,walking
10.94729402,walking
11.06164034,walking
10.78246781,walking
10.56212457,walking
11.61358653,walking
12.54399765,walking
13.53139261,walking
13.16801175,walking
11.60575064,walking
10.72255116,walking
8.890418279,walking
8.596052849,walking
8.856460849,walking
9.803718511,walking
10.2971292,walking
10.81037458,walking
11.21269576,walking
11.90938296,walking
12.3294299,walking
12.80185789,walking
13.62075125,walking
14.31030681,walking
14.83541686,walking
14.9436224,walking
15.48886299,walking
15.58769617,walking
13.81980987,walking
14.3977665,walking
15.39214939,walking
16.4471181,walking
18.02806375,walking
17.6725883,walking
15.56873521,walking
13.86797875,walking
12.54259103,walking
11.9947027,walking
11.09855958,walking
11.00069707,walking
10.7238778,walking
10.31420558,walking
9.982142755,walking
8.492048058,walking
7.853115026,walking
7.012912291,walking
7.026006486,walking
7.407166741,walking
7.857796514,walking
8.144873782,walking
9.410371825,walking
10.32492046,walking
11.01232531,walking
10.91995432,walking
11.12359205,walking
13.21673852,walking
14.46132666,walking
15.05827014,walking
14.06900158,walking
12.60118167,walking
11.18376709,walking
9.457331968,walking
9.260959775,walking
9.473974028,walking
10.07248283,walking
10.52476513,walking
10.78613195,walking
11.76243821,walking
12.1786779,walking
12.62053915,walking
13.57793649,walking
14.13732017,walking
15.13473109,walking
15.93225085,walking
16.05583057,walking
16.35108693,walking
15.75229918,walking
15.10718124,walking
14.29977012,walking
14.90641568,walking
15.56172402,walking
16.29762262,walking
16.20536224,walking
15.43165941,walking
14.20421819,walking
12.24646856,walking
11.7266207,walking
11.16100097,walking
10.89566734,walking
10.66071665,walking
10.53124889,walking
10.02334818,walking
9.278740495,walking
8.803345306,walking
8.440478737,walking
7.791752248,walking
7.907112259,walking
8.027112323,walking
8.126418765,walking
8.548894186,walking
9.637090308,walking
10.40267627,walking
10.05629825,walking
10.16807676,walking
10.81424437,walking
13.37964959,walking
14.07807782,walking
14.2445099,walking
13.63751981,walking
11.01773218,walking
9.962297971,walking
9.346725957,walking
8.958595678,walking
9.233611728,walking
9.991510208,walking
10.87846403,walking
11.31135251,walking
11.6335415,walking
12.24288791,walking
12.77351453,walking
13.63528362,walking
14.29755105,walking
14.7208188,walking
15.04815069,walking
15.93300875,walking
16.45606838,walking
15.00087042,walking
14.71228032,walking
14.88903605,walking
15.99783657,walking
16.57720917,walking
16.4089992,walking
16.08797375,walking
15.22165398,walking
13.86453198,walking
12.66221092,walking
11.50759652,walking
10.84758529,walking
10.33231457,walking
9.919099627,walking
9.740048435,walking
8.878193295,walking
8.465334826,walking
