Left_pocket,,,,,
time_stamp,Ax,Ay,Az,,
1.39E+12,4.5901,-2.0431,2.656,5.683098769,walking
1.39E+12,3.732,-2.4517,1.9341,4.866148343,walking
1.39E+12,0.054481,-8.9622,4.1542,9.878328536,walking
1.39E+12,-6.565,-18.673,7.5457,21.18295878,walking
1.39E+12,-2.0294,-11.196,-0.84446,11.40973238,walking
1.39E+12,2.6287,-7.9815,-2.6015,8.796715762,walking
1.39E+12,5.1349,-6.3335,-2.2201,8.450400243,walking
1.39E+12,5.993,-5.0123,-0.81722,7.855383429,walking
1.39E+12,0.027241,-10.569,1.7025,10.70527951,walking
1.39E+12,-1.9477,-11.237,1.7979,11.54539513,walking
1.39E+12,-0.70826,-9.6023,0.57205,9.645363587,walking
1.39E+12,2.5742,-8.145,-1.2803,8.637516931,walking
1.39E+12,2.1793,-8.2812,-1.1169,8.63568686,walking
1.39E+12,0.23155,-9.8884,-0.25879,9.894495552,walking
1.39E+12,-0.69464,-10.651,-0.8036,10.7038357,walking
1.39E+12,-0.44947,-10.488,-1.7025,10.63478601,walking
1.39E+12,1.9341,-11.223,-1.9886,11.56075265,walking
1.39E+12,1.4982,-12.558,-0.55843,12.65937642,walking
1.39E+12,-0.83084,-12.817,-0.25879,12.84650756,walking
1.39E+12,-0.8717,-12.531,-1.6753,12.67250772,walking
1.39E+12,0.027241,-12.544,-2.6287,12.81650271,walking
1.39E+12,0.40861,-13.171,-2.2474,13.36761048,walking
1.39E+12,-0.38137,-13.443,0.35413,13.45307029,walking
1.39E+12,1.1305,-16.481,2.152,16.65930657,walking
1.39E+12,5.8159,-15.418,1.9886,16.59801033,walking
1.39E+12,6.0883,-15.187,-0.38137,16.36636212,walking
1.39E+12,5.3937,-15.827,-0.8717,16.74352978,walking
1.39E+12,5.3119,-13.593,-0.6674,14.60928997,walking
1.39E+12,5.0668,-12.476,0.31327,13.46926785,walking
1.39E+12,4.4675,-10.801,1.4165,11.77398104,walking
1.39E+12,0.19068,-8.4719,0.99429,8.53217798,walking
1.39E+12,-0.29965,-7.1507,0.7355,7.19466892,walking
1.39E+12,-0.40861,-6.1292,0.96704,6.218458099,walking
1.39E+12,0.65378,-2.9011,2.6968,4.014541037,walking
1.39E+12,2.5742,-2.833,2.1656,4.397978854,walking
1.39E+12,3.5958,-3.3097,1.7979,5.20733484,walking
1.39E+12,4.1542,-3.1735,1.0896,5.340010117,walking
1.39E+12,4.018,-3.2825,0.36775,5.201381577,walking
1.39E+12,3.3097,-5.7342,-3.2825,7.389855884,walking
1.39E+12,2.7104,-8.4446,-4.3858,9.894077974,walking
1.39E+12,1.975,-12.177,-4.5901,13.16240753,walking
1.39E+12,2.2337,-14.547,-5.4073,15.67939788,walking
1.39E+12,7.0962,-16.372,-9.9837,20.44682626,walking
1.39E+12,5.7205,-9.8339,-9.8066,15.01995716,walking
1.39E+12,5.993,-10.624,-7.9951,14.58447973,walking
