Left_pocket,,,,,
time_stamp,Ax,Ay,Az,Axyz,Act
1.39E+12,-3.6775,-13.893,-4.3313,15.00998384,walking
1.39E+12,-3.3778,-12.49,-4.1133,13.57677685,walking
1.39E+12,-1.3212,-11.073,-0.14982,11.15254879,walking
1.39E+12,-1.4029,-9.0031,2.0294,9.335009501,walking
1.39E+12,-2.656,-7.7772,3.2416,8.834429602,walking
1.39E+12,-5.1894,-4.9306,-1.185,7.255681479,walking
1.39E+12,-5.8704,-4.6582,0.027241,7.494075358,walking
1.39E+12,-3.3915,-6.279,1.9341,7.393839061,walking
1.39E+12,-1.6208,-5.8023,2.1248,6.388149417,walking
1.39E+12,1.5527,-5.6661,2.261,6.295052621,walking
1.39E+12,2.8875,-5.4481,0.81722,6.219911445,walking
1.39E+12,1.1986,-5.0531,-0.57205,5.224720354,walking
1.39E+12,0.027241,-4.8352,-1.7979,5.158715491,walking
1.39E+12,0.38137,-4.9306,-2.9011,5.733466722,walking
1.39E+12,0.70826,-6.0747,-5.7069,8.364945901,walking
1.39E+12,-1.0215,-7.6819,-7.1234,10.52605707,walking
1.39E+12,-4.4811,-9.7113,-8.7987,13.84943055,walking
1.39E+12,-10.896,-16.44,-11.359,22.76012515,walking
1.39E+12,-10.011,-16.821,-11.032,22.4693388,walking
1.39E+12,-3.2553,-9.7522,-7.1507,12.52337388,walking
1.39E+12,-3.0373,-11.7,-1.7025,12.20711668,walking
1.39E+12,-1.9886,-14.233,12.217,18.862341,walking
1.39E+12,-4.6445,-11.536,0.96704,12.47340541,walking
1.39E+12,-5.0259,-9.5887,-4.7944,11.84014822,walking
1.39E+12,2.4789,-4.7944,1.866,5.71079439,walking
1.39E+12,4.8216,-5.1213,4.0861,8.134602231,walking
1.39E+12,2.5606,-7.2869,4.4402,8.909038108,walking
1.39E+12,-0.70826,-10.311,3.4459,10.89461243,walking
1.39E+12,-6.0747,-14.887,1.1032,16.11650704,walking
1.39E+12,-9.9156,-8.9758,-0.40861,13.38099664,walking
1.39E+12,-8.5536,-3.5822,1.7979,9.446093066,walking
1.39E+12,-4.0725,-4.4811,0.34051,6.064772091,walking
1.39E+12,-2.3836,-8.7306,0.35413,9.057059864,walking
1.39E+12,-2.3427,-9.4798,-0.040861,9.765066357,walking
1.39E+12,-3.0237,-8.5944,-1.6889,9.26600541,walking
1.39E+12,-4.2223,-7.7364,-0.76274,8.846551563,walking
1.39E+12,-4.5356,-7.246,-0.24517,8.551975894,walking
1.39E+12,-5.6252,-7.355,-0.14982,9.260742199,walking
1.39E+12,-6.4833,-8.6762,-1.1169,10.88839249,walking
1.39E+12,-5.775,-9.4798,-1.3757,11.18524848,walking
1.39E+12,-5.0259,-10.379,-1.2122,11.59537583,walking
1.39E+12,-5.2711,-12.231,-0.44947,13.32606016,walking
1.39E+12,-8.9486,-10.311,-0.31327,13.6562184,walking
1.39E+12,-10.106,-9.5479,-0.92618,13.93382359,walking
1.39E+12,-9.5887,-8.8805,-1.7979,13.19238009,walking
1.39E+12,-8.0905,-11.659,-0.92618,14.22133189,walking
1.39E+12,-5.1076,-14.22,-1.866,15.22425479,walking
1.39E+12,-3.8273,-14.669,-1.2258,15.20954871,walking
1.39E+12,-1.5663,-13.498,3.3097,13.98582903,walking
1.39E+12,-0.7355,-13.77,4.0044,14.35928548,walking
1.39E+12,-1.7434,-14.901,0.49033,15.01065182,walking
1.39E+12,-4.018,-14.192,-3.1872,15.09024294,walking
1.39E+12,-4.1814,-12.231,-2.1656,13.10615467,walking
1.39E+12,-3.337,-10.801,0.095342,11.30514308,walking
1.39E+12,-2.4925,-8.1995,1.7025,8.737440286,walking
1.39E+12,-2.7649,-5.993,1.4165,6.75034764,walking
1.39E+12,-3.9771,-3.8954,0.69464,5.610168473,walking
1.39E+12,-4.808,-4.522,0.69464,6.636857142,walking
1.39E+12,-1.9341,-5.1213,0.8717,5.543312853,walking
1.39E+12,0.38137,-5.2847,0.58567,5.330713509,walking
1.39E+12,2.6423,-5.2166,0.39499,5.860945483,walking
1.39E+12,1.7025,-5.0259,0.17706,5.309381066,walking
1.39E+12,0.44947,-4.699,-0.21793,4.725475401,walking
1.39E+12,-0.50395,-4.413,-1.0624,4.566971465,walking
1.39E+12,-0.47671,-4.4402,-2.4789,5.1075996,walking
1.39E+12,-1.0488,-5.4754,-5.6524,7.939119117,walking
1.39E+12,-3.6639,-7.641,-8.1586,11.76315426,walking
1.39E+12,-11.972,-15.486,-10.801,22.35635438,walking
1.39E+12,-13.648,-18.578,-10.637,25.38810267,walking
1.39E+12,-7.2052,-14.615,-9.9701,19.10277535,walking
1.39E+12,-2.5742,-15.2,-6.9191,16.8979422,walking
1.39E+12,0.89894,-17.284,0.99429,17.33589807,walking
1.39E+12,-0.01362,-14.887,4.3313,15.50429341,walking
1.39E+12,-4.9578,-6.2245,2.0294,8.212347134,walking
1.39E+12,1.4438,-1.3757,1.1169,2.285732823,walking
1.39E+12,4.127,-2.0431,2.6151,5.295765726,walking
1.39E+12,3.0918,-5.8295,2.8739,7.197332749,walking
1.39E+12,-2.9692,-12.803,2.4653,13.37201038,walking
1.39E+12,-4.1542,-13.906,1.5936,14.60047173,walking
1.39E+12,-5.8295,-14.601,1.1169,15.76133677,walking
1.39E+12,-8.2131,-8.5944,0.17706,11.88907369,walking
1.39E+12,-6.7012,-4.9714,2.5334,8.720035261,walking
1.39E+12,-4.8625,-5.5571,1.4165,7.518759134,walking
1.39E+12,-2.9965,-7.0962,0.31327,7.709293404,walking
1.39E+12,-2.7104,-8.145,-0.5993,8.605024907,walking
1.39E+12,-2.7241,-8.1722,-1.4165,8.729951082,walking
1.39E+12,-2.8603,-8.1586,-0.8717,8.689299796,walking
1.39E+12,-4.413,-7.927,0.027241,9.072631375,walking
1.39E+12,-5.3119,-8.1041,-0.24517,9.692926635,walking
1.39E+12,-5.7342,-8.6217,-0.54481,10.36877902,walking
1.39E+12,-6.279,-8.7987,-1.2667,10.88335847,walking
1.39E+12,-6.1292,-10.406,-0.49033,12.08686693,walking
1.39E+12,-6.2245,-11.686,-1.3076,13.30476659,walking
1.39E+12,-7.641,-11.441,-0.44947,13.76529641,walking
1.39E+12,-9.4798,-9.6977,-1.471,13.64096164,walking
1.39E+12,-9.5751,-9.0167,-2.0158,13.30589601,walking
